OBJECTID,MUKEY,GIS_ID,TYPE,DESC_,SLOPE,TYPEDESC,SLOPEDESC,TYPE_ORIG,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1412,128598,SoilPly_1417,FD,Fluvaquents - Ponded, ,Fluvaquents - Ponded, ,FD,{DD1021D3-4449-4AD6-87C7-08B21D217FAC},,,,,0,0
1413,128659,SoilPly_1418,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{DC3DD163-9935-40D5-B412-0F784E8BE28F},,,,,0,0
1414,128658,SoilPly_1419,U1,Udorthents, ,Udorthents, ,U1,{A320C5D9-625F-4190-8360-9BB4C50AB224},,,,,0,0
1415,128675,SoilPly_1420,Ue,"Urban land-Chillum complex, 0 to 8 percent slopes",B,Urban land-Chillum complex,0 to 8 percent slopes,UeB,{91E9D74A-E7C0-4289-89E7-E50C3A026B1A},,,,,0,0
1416,128651,SoilPly_1421,Sg,"Sassafras-urban land complex, 15 to 40 percent slopes",D,Sassafras-urban land complex,15 to 40 percent slopes,SgD,{CE0AC8D9-9E8D-4FF2-A2BB-9AE7BDE73491},,,,,0,0
1417,128588,SoilPly_1422,Ck,Codorus Silt Loam, ,Codorus Silt Loam, ,Ck,{8D12DC65-3DD2-4D6C-B497-5B77A06B8C5B},,,,,0,0
1418,128689,SoilPly_1423,W,Water, ,Water, ,W,{7128DF31-AE58-4B75-A5B7-7565C359C10F},,,,,0,0
1419,128653,SoilPly_1424,Sm,"Sunnyside fine sandy loam, 8 to 15 percent slopes",C,Sunnyside fine sandy loam,8 to 15 percent slopes,SmC,{8678F6D8-9670-44B5-97E2-34715771E028},,,,,0,0
1420,128609,SoilPly_1425,Gh,"Glenelg-urban land complex, 8 to 15 percent slopes",C,Glenelg-urban land complex,8 to 15 percent slopes,GhC,{A7AFC1FE-D5F3-45EE-A71F-9B3D565B54BD},,,,,0,0
1421,128619,SoilPly_1426,Ju,"Joppa-urban land complex, 8 to 15 percent slopes",C,Joppa-urban land complex,8 to 15 percent slopes,JuC,{6C32B64E-2528-4F6A-AC40-DA5FBDECC796},,,,,0,0
1422,128617,SoilPly_1427,Jt,"Joppa gravelly sandy loam, 15 to 40 percent slopes",D,Joppa gravelly sandy loam,15 to 40 percent slopes,JtD,{6EA29932-5A5C-4361-9E8E-B38478E0EEC8},,,,,0,0
1423,128651,SoilPly_1428,Sg,"Sassafras-urban land complex, 15 to 40 percent slopes",D,Sassafras-urban land complex,15 to 40 percent slopes,SgD,{427A638C-9CCC-4BB1-9600-42D724C04840},,,,,0,0
1424,128581,SoilPly_1429,Cd,"Chillum-urban land complex,  15 to 40 percent slopes",D,Chillum-urban land complex,15 to 40 percent slopes,CdD,{F0DF7FF4-C690-4303-926E-BB08088F4F4B},,,,,0,0
1425,128658,SoilPly_1430,U1,Udorthents, ,Udorthents, ,U1,{E95150A0-CED3-4128-804A-82E73EA84F88},,,,,0,0
1426,128660,SoilPly_1431,U11,"Udorthents, deep, 0 to 8 percent slopes",B,Udorthents,deep0 to 8 percent slopes,U11B,{B2A4AD2D-82FB-436D-91FC-B15564479C86},,,,,0,0
1427,128589,SoilPly_1432,Cn,Codorus - Urban Land Complex, ,Codorus - Urban Land Complex, ,Cn,{15153F03-F802-4492-A1D6-F16EC43670E9},,,,,0,0
1428,128619,SoilPly_1433,Ju,"Joppa-urban land complex, 8 to 15 percent slopes",C,Joppa-urban land complex,8 to 15 percent slopes,JuC,{EFFB8DDD-A045-4988-830D-698A7AACB68E},,,,,0,0
1429,1722647,SoilPly_1434, , , , , ,Qu,{EA7C2F32-63A0-4A51-91F7-3E42518D7834},,,,,0,0
1430,128585,SoilPly_1435,Cf,"Christiana-urban land complex, 0 to 8 percent slopes",B,Christiana-urban land complex,0 to 8 percent slopes,CfB,{93A3C4A9-59D1-4FE8-9457-BEB10A9B56D5},,,,,0,0
1431,128641,SoilPly_1436,Ne,"Neshaminy silt loam, 15 to 40 percent slopes",D,Neshaminy silt loam,15 to 40 percent slopes,NeD,{0C9F4AF5-C846-449E-9027-9CC242D4B9D1},,,,,0,0
1432,128612,SoilPly_1437,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{C90491AB-5E49-4153-86ED-09C0FFC015C4},,,,,0,0
1433,128659,SoilPly_1438,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{F677FDFF-7109-4284-AE06-FBAF6B4C6E0C},,,,,0,0
1434,128609,SoilPly_1439,Gh,"Glenelg-urban land complex, 8 to 15 percent slopes",C,Glenelg-urban land complex,8 to 15 percent slopes,GhC,{CBFF7168-9AD8-44CD-B165-FD75D5A39803},,,,,0,0
1435,128588,SoilPly_1440,Ck,Codorus Silt Loam, ,Codorus Silt Loam, ,Ck,{A38DDCAF-F254-40D8-ADBA-29D063B5D843},,,,,0,0
1436,128579,SoilPly_1441,Cd,"Chillum-urban land complex,  0 to 8 percent slopes",B,Chillum-urban land complex,0 to 8 percent slopes,CdB,{19B4D527-1489-441E-B874-A74DCA5E6F68},,,,,0,0
1437,128603,SoilPly_1442,Gf,"Galestown and Rumford soils, 0 to 8 percent slopes",B,Galestown and Rumford soils,0 to 8 percent slopes,GfB,{AB75CE56-8811-47D8-99B5-40157BA540F2},,,,,0,0
1438,128664,SoilPly_1443,U3,"Udorthents, Sandy", ,"Udorthents, Sandy", ,U3,{451387C1-823F-4632-97E4-B4386254BA53},,,,,0,0
1439,128580,SoilPly_1444,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{0AEACF22-F32D-427B-8D5A-2157D75705B8},,,,,0,0
1440,128619,SoilPly_1445,Ju,"Joppa-urban land complex, 8 to 15 percent slopes",C,Joppa-urban land complex,8 to 15 percent slopes,JuC,{87445762-706C-45DC-85CB-E6E08667C512},,,,,0,0
1441,128666,SoilPly_1446,U5,"Udorthents, Clayey", ,"Udorthents, Clayey", ,U5,{99174B46-3891-47A4-ABE3-75390F4144D7},,,,,0,0
1442,128658,SoilPly_1447,U1,Udorthents, ,Udorthents, ,U1,{3E031647-45A6-4BA0-930A-A7BAE30FA4CC},,,,,0,0
1443,128616,SoilPly_1448,Jt,"Joppa gravelly sandy loam, 8 to 15 percent slopes",C,Joppa gravelly sandy loam,8 to 15 percent slopes,JtC,{8695B4FB-B0BF-4353-8E35-8A58EC05D66F},,,,,0,0
1444,128564,SoilPly_1449,As,"Ashe loam, 15 to 40 percent slopes",D,Ashe loam,15 to 40 percent slopes,AsD,{44AE527D-F176-4EB7-93CA-D09E06BEEDF4},,,,,0,0
1445,128681,SoilPly_1450,Uo,"Urban land-Joppa complex, 8 to 15 percent slopes",C,Urban land-Joppa complex,8 to 15 percent slopes,UoC,{7537227F-CB5B-4B0D-9907-6227B8C8EF33},,,,,0,0
1446,128617,SoilPly_1451,Jt,"Joppa gravelly sandy loam, 15 to 40 percent slopes",D,Joppa gravelly sandy loam,15 to 40 percent slopes,JtD,{4EB03B13-391A-4A98-9476-275ACB210686},,,,,0,0
1447,128648,SoilPly_1452,Sc,"Sassafras gravelly sandy loam, 15 to 40 percent slopes",D,Sassafras gravelly sandy loam,15 to 40 percent slopes,ScD,{65FEAC78-B100-429D-94B4-EDF231FA57EB},,,,,0,0
1448,128678,SoilPly_1453,Uf,"Urban land-Christiana complex, 8 to 15 percent slopes",C,Urban land-Christiana complex,8 to 15 percent slopes,UfC,{E4AD3ED9-7731-486E-BEA4-0330006C49D4},,,,,0,0
1449,128577,SoilPly_1454,Cc,"Chillum silt loam, 8 to 15 percent slopes",C,Chillum silt loam,8 to 15 percent slopes,CcC,{F3EC252B-9E41-44D3-84E9-C65200F99695},,,,,0,0
1450,128586,SoilPly_1455,Cf,"Christiana-urban land complex, 8 to 15 percent slopes",C,Christiana-urban land complex,8 to 15 percent slopes,CfC,{701F6F64-C053-4E98-99BC-ED3BAE35C7F3},,,,,0,0
1451,128583,SoilPly_1456,Ce,"Christiana silt loam, 8 to 15 percent slopes",C,Christiana silt loam,8 to 15 percent slopes,CeC,{5ABC1ECB-74AF-4A93-9186-2977434C0D1A},,,,,0,0
1452,128597,SoilPly_1457,FB,Fluvaquents - Bouldery, ,Fluvaquents - Bouldery, ,FB,{80521E14-1226-40F7-A399-5E99DE7796CC},,,,,0,0
1453,128584,SoilPly_1458,Ce,"Christiana silt loam, 15 to 40 percent slopes",D,Christiana silt loam,15 to 40 percent slopes,CeD,{DCE91EC4-F5CB-47EE-BD34-7A1FA5241010},,,,,0,0
1454,128659,SoilPly_1459,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{0A033B35-8657-4E14-8303-BE34EC13AB53},,,,,0,0
1455,128610,SoilPly_1460,Gh,"Glenelg-urban land complex, 15 to 40 percent slopes",D,Glenelg-urban land complex,15 to 40 percent slopes,GhD,{CF4C8CD7-0DF1-4EE5-B7AA-605777DDB29D},,,,,0,0
1456,128670,SoilPly_1461,U9,"Udorthents, Clayey, Smoothed", ,"Udorthents, Clayey, Smoothed", ,U9,{74B4C004-51DD-46E6-BC84-DDAE9D4FF49F},,,,,0,0
1457,128666,SoilPly_1462,U5,"Udorthents, Clayey", ,"Udorthents, Clayey", ,U5,{7C38FFB2-57D5-404A-946C-BF9E4C69D2C8},,,,,0,0
1458,128633,SoilPly_1463,Mg,"Matapeake silt loam, 0 to 8 percent slopes",B,Matapeake silt loam,0 to 8 percent slopes,MgB,{3C75615A-DA44-4BF5-8778-9912308F8599},,,,,0,0
1459,128648,SoilPly_1464,Sc,"Sassafras gravelly sandy loam, 15 to 40 percent slopes",D,Sassafras gravelly sandy loam,15 to 40 percent slopes,ScD,{0A447586-6F1F-4F99-9DDB-C005643343C6},,,,,0,0
1460,128587,SoilPly_1465,Cf,"Christiana-urban land complex, 15 to 40 percent slopes",D,Christiana-urban land complex,15 to 40 percent slopes,CfD,{21F7FE5F-F9D0-4107-B49C-449E0D8920A9},,,,,0,0
1461,128586,SoilPly_1466,Cf,"Christiana-urban land complex, 8 to 15 percent slopes",C,Christiana-urban land complex,8 to 15 percent slopes,CfC,{84A2C103-4D5B-467B-AB80-46B5EFF8DEE8},,,,,0,0
1462,128584,SoilPly_1467,Ce,"Christiana silt loam, 15 to 40 percent slopes",D,Christiana silt loam,15 to 40 percent slopes,CeD,{869D65CE-F3E1-483D-8D4F-3CCEDA162AF5},,,,,0,0
1463,128632,SoilPly_1468,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{78BC755A-DC51-48E0-AAA1-EE84C3A536FF},,,,,0,0
1464,128578,SoilPly_1469,Cc,"Chillum silt loam, 15 to 40 percent slopes",D,Chillum silt loam,15 to 40 percent slopes,CcD,{C3324DD2-E7DB-4489-9C8C-370DCC532907},,,,,0,0
1465,128577,SoilPly_1470,Cc,"Chillum silt loam, 8 to 15 percent slopes",C,Chillum silt loam,8 to 15 percent slopes,CcC,{293DBD58-DD72-4928-8B4E-B1AADCD164A2},,,,,0,0
1466,128603,SoilPly_1471,Gf,"Galestown and Rumford soils, 0 to 8 percent slopes",B,Galestown and Rumford soils,0 to 8 percent slopes,GfB,{5D93A17F-254A-44F9-B13B-3A2031CB475A},,,,,0,0
1467,128672,SoilPly_1472,Ub,Urban Land, ,Urban Land, ,Ub,{E3E52850-F0DC-4640-A15B-5B8EB2651FDB},,,,,0,0
1468,128685,SoilPly_1473,Ux,"Urban land-Sassafras complex, 0 to 8 percent slopes",B,Urban land-Sassafras complex,0 to 8 percent slopes,UxB,{557C119B-84E6-4484-B677-C9EBB6DB87FE},,,,,0,0
1469,128617,SoilPly_1474,Jt,"Joppa gravelly sandy loam, 15 to 40 percent slopes",D,Joppa gravelly sandy loam,15 to 40 percent slopes,JtD,{4209841F-E3BE-421E-968E-4DE9365DB704},,,,,0,0
1470,128616,SoilPly_1475,Jt,"Joppa gravelly sandy loam, 8 to 15 percent slopes",C,Joppa gravelly sandy loam,8 to 15 percent slopes,JtC,{93320A66-C8B6-4308-92E2-4F2FEA6C2E48},,,,,0,0
1471,128685,SoilPly_1411,Ux,"Urban land-Sassafras complex, 0 to 8 percent slopes",B,Urban land-Sassafras complex,0 to 8 percent slopes,UxB,{BBB3354D-4188-47B7-9486-E3B519623DC2},,,,,0,0
1472,128660,SoilPly_1412,U11,"Udorthents, deep, 0 to 8 percent slopes",B,Udorthents,deep0 to 8 percent slopes,U11B,{C95DEA07-0CC4-440A-B136-AE7ABC4CE8C9},,,,,0,0
1473,128580,SoilPly_1413,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{0A76E59A-93EE-4F83-80A0-1276D835EC0B},,,,,0,0
1474,128670,SoilPly_1414,U9,"Udorthents, Clayey, Smoothed", ,"Udorthents, Clayey, Smoothed", ,U9,{7BFCFDD1-7EE9-4623-BAFC-AC38435A9488},,,,,0,0
1475,128632,SoilPly_1415,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{5FE0C442-944F-4868-BFDF-31C0460D9150},,,,,0,0
1476,128618,SoilPly_1499,Ju,"Joppa-urban land complex, 0 to 8 percent slopes",B,Joppa-urban land complex,0 to 8 percent slopes,JuB,{2954CF3F-AC24-461B-ADBC-139BFEFD3CCF},,,,,0,0
1477,128598,SoilPly_1500,FD,Fluvaquents - Ponded, ,Fluvaquents - Ponded, ,FD,{5F92F250-B255-44FC-BFA3-0713F9B4045A},,,,,0,0
1478,128617,SoilPly_1501,Jt,"Joppa gravelly sandy loam, 15 to 40 percent slopes",D,Joppa gravelly sandy loam,15 to 40 percent slopes,JtD,{9B281BF2-F2E2-4448-B452-1B7D10561C10},,,,,0,0
1479,128604,SoilPly_1502,Gf,"Galestown and Rumford soils, 8 to 15 percent slopes",C,Galestown and Rumford soils,8 to 15 percent slopes,GfC,{C82F0FA6-C2BD-4064-8678-AA25AC21E434},,,,,0,0
1480,128598,SoilPly_1503,FD,Fluvaquents - Ponded, ,Fluvaquents - Ponded, ,FD,{B34B8A7C-1BA7-4822-AAD7-BBBC6C8A49CB},,,,,0,0
1481,128678,SoilPly_1504,Uf,"Urban land-Christiana complex, 8 to 15 percent slopes",C,Urban land-Christiana complex,8 to 15 percent slopes,UfC,{4ABC504A-82B9-4FF0-AF18-515752EC7BBB},,,,,0,0
1482,128578,SoilPly_1505,Cc,"Chillum silt loam, 15 to 40 percent slopes",D,Chillum silt loam,15 to 40 percent slopes,CcD,{E7D399A6-2662-46FF-975F-6855E71DC10C},,,,,0,0
1483,128588,SoilPly_1506,Ck,Codorus Silt Loam, ,Codorus Silt Loam, ,Ck,{12D4D3C9-F0A1-48E0-B5DB-4FAC0FAE1D27},,,,,0,0
1484,128640,SoilPly_1507,Ne,"Neshaminy silt loam, 8 to 15 percent slopes",C,Neshaminy silt loam,8 to 15 percent slopes,NeC,{64439FD1-2ABF-4AAC-9A82-03562E1980B7},,,,,0,0
1485,128672,SoilPly_1508,Ub,Urban Land, ,Urban Land, ,Ub,{22063399-1DB8-4FF5-A702-0557A3EA9E33},,,,,0,0
1486,128598,SoilPly_1509,FD,Fluvaquents - Ponded, ,Fluvaquents - Ponded, ,FD,{066B6366-22FB-4BE5-A84E-15AB9F90075B},,,,,0,0
1487,128691,SoilPly_1510,Wp,"Woodstown-urban land complex, 0 to 8 percent slopes",B,Woodstown-urban land complex,0 to 8 percent slopes,WpB,{B7B1D07C-9EFA-4613-96F9-250076DCF7D1},,,,,0,0
1488,128670,SoilPly_1511,U9,"Udorthents, Clayey, Smoothed", ,"Udorthents, Clayey, Smoothed", ,U9,{F075E57C-7FB5-4212-AF36-20A4499EE4E8},,,,,0,0
1489,128612,SoilPly_1512,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{2B93AAA8-7DF6-4E85-8809-A636AB18F4AE},,,,,0,0
1490,128565,SoilPly_1513,Bd,"Beltsville silt loam, 0 to 8 percent slopes",B,Beltsville silt loam,0 to 8 percent slopes,BdB,{7DC387A6-7A33-47A1-B646-A47BB1B2BCF7},,,,,0,0
1491,128609,SoilPly_1514,Gh,"Glenelg-urban land complex, 8 to 15 percent slopes",C,Glenelg-urban land complex,8 to 15 percent slopes,GhC,{C1B73936-35C2-490A-AE9E-2A687661D78A},,,,,0,0
1492,128632,SoilPly_1515,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{07A56758-8D5E-4D6D-8ED5-D7D181451467},,,,,0,0
1493,128577,SoilPly_1516,Cc,"Chillum silt loam, 8 to 15 percent slopes",C,Chillum silt loam,8 to 15 percent slopes,CcC,{979CD155-BA33-4B44-90E9-B4467D44AA6B},,,,,0,0
1494,128626,SoilPly_1517,Lp,"Lindside Silt Loam, Bedrock Substratum", ,"Lindside Silt Loam, Bedrock Substratum", ,Lp,{6ED61EB7-6381-4BC6-8E4B-FECDE4A141D2},,,,,0,0
1495,128609,SoilPly_1518,Gh,"Glenelg-urban land complex, 8 to 15 percent slopes",C,Glenelg-urban land complex,8 to 15 percent slopes,GhC,{831B2451-8DC9-42BA-85E0-99867B954D2E},,,,,0,0
1496,128654,SoilPly_1519,Sm,"Sunnyside fine sandy loam, 15 to 40 percent slopes",D,Sunnyside fine sandy loam,15 to 40 percent slopes,SmD,{A0AA08B2-E35F-4260-B002-098AEDF6576A},,,,,0,0
1497,128648,SoilPly_1520,Sc,"Sassafras gravelly sandy loam, 15 to 40 percent slopes",D,Sassafras gravelly sandy loam,15 to 40 percent slopes,ScD,{9604D6C3-2ADE-4864-B50A-480EAAC5FE2D},,,,,0,0
1498,128659,SoilPly_1521,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{D3BFFCD9-4C14-41DC-8B26-10BBF06BDAD5},,,,,0,0
1499,128584,SoilPly_1522,Ce,"Christiana silt loam, 15 to 40 percent slopes",D,Christiana silt loam,15 to 40 percent slopes,CeD,{53BBB53A-054F-4922-A78C-F1747928C018},,,,,0,0
1500,128683,SoilPly_1523,Us,"Urban land-Manor complex, 0 to 8 percent slopes",B,Urban land-Manor complex,0 to 8 percent slopes,UsB,{2A7116BD-65D1-4F55-9786-ED55194F1CC5},,,,,0,0
1501,128659,SoilPly_1524,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{03010AAA-BDC1-4C32-BFCA-D91A8E3ECD7D},,,,,0,0
1502,128659,SoilPly_1525,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{B2973B60-BF6E-4B7A-BAED-79905528F500},,,,,0,0
1503,128565,SoilPly_1526,Bd,"Beltsville silt loam, 0 to 8 percent slopes",B,Beltsville silt loam,0 to 8 percent slopes,BdB,{26140D8A-7B8C-48CC-AB5F-B75C491AAF31},,,,,0,0
1504,128567,SoilPly_1527,Bg,Bibb Sabdy Loam, ,Bibb Sabdy Loam, ,Bg,{0DB1E994-D43F-4F3E-97D3-4F120C21070E},,,,,0,0
1505,128613,SoilPly_1528,Ik,Iuka - Sandy Loam, ,Iuka - Sandy Loam, ,Ik,{22D053E2-44DB-4AE2-8C50-7286AACBABF2},,,,,0,0
1506,128641,SoilPly_1529,Ne,"Neshaminy silt loam, 15 to 40 percent slopes",D,Neshaminy silt loam,15 to 40 percent slopes,NeD,{B6B5A3B3-1E05-46E7-A3B1-B64365F69FD5},,,,,0,0
1507,128609,SoilPly_1530,Gh,"Glenelg-urban land complex, 8 to 15 percent slopes",C,Glenelg-urban land complex,8 to 15 percent slopes,GhC,{433E8B41-97E1-4CD5-9E89-7F5309A39CAE},,,,,0,0
1508,128676,SoilPly_1531,Ue,"Urban land-Chillum complex, 8 to 15 percent slopes",C,Urban land-Chillum complex,8 to 15 percent slopes,UeC,{0CF58D7C-0ED7-45ED-B76B-A930F9D49748},,,,,0,0
1509,128583,SoilPly_1532,Ce,"Christiana silt loam, 8 to 15 percent slopes",C,Christiana silt loam,8 to 15 percent slopes,CeC,{890F1A55-7CFB-4ACC-AD6A-49A08BEF3588},,,,,0,0
1510,128659,SoilPly_1533,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{206DC198-E4FD-45C9-A0CD-E5CDE9445109},,,,,0,0
1511,128583,SoilPly_1534,Ce,"Christiana silt loam, 8 to 15 percent slopes",C,Christiana silt loam,8 to 15 percent slopes,CeC,{B9FCE806-4CBF-453B-9DA8-79ABC1E106A6},,,,,0,0
1512,128659,SoilPly_1535,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{B334E1CD-4F3F-48A4-8C50-84E7739F99FB},,,,,0,0
1513,128621,SoilPly_1536,Ke,"Keyport fine sandy loam, 0 to 8 percent slopes",B,Keyport fine sandy loam,0 to 8 percent slopes,KeB,{CA7C0B5C-2359-442F-8F87-425E8ED6282E},,,,,0,0
1514,128583,SoilPly_1476,Ce,"Christiana silt loam, 8 to 15 percent slopes",C,Christiana silt loam,8 to 15 percent slopes,CeC,{4107E38E-7B59-4B2A-A2BA-B4D5ACD9FC9C},,,,,0,0
1515,128653,SoilPly_1477,Sm,"Sunnyside fine sandy loam, 8 to 15 percent slopes",C,Sunnyside fine sandy loam,8 to 15 percent slopes,SmC,{456E8D00-39E5-4D8D-B0DD-4DF4317AE5E9},,,,,0,0
1516,128636,SoilPly_1478,Mp,Melvin Silt Loam, ,Melvin Silt Loam, ,Mp,{8B665B48-0C35-4AC4-B3FA-B02D102773EE},,,,,0,0
1517,128598,SoilPly_1479,FD,Fluvaquents - Ponded, ,Fluvaquents - Ponded, ,FD,{11975577-AD7D-4393-9203-007967ECB87A},,,,,0,0
1518,128613,SoilPly_1480,Ik,Iuka - Sandy Loam, ,Iuka - Sandy Loam, ,Ik,{621AB40B-6AE4-440E-8553-5317B263C1D5},,,,,0,0
1519,128642,SoilPly_1481,Nu,"Neshaminy-urban land complex, 8 to 15 percent slopes",C,Neshaminy-urban land complex,8 to 15 percent slopes,NuC,{812B43DB-C5CB-44C5-951F-43C3996A0C2B},,,,,0,0
1520,128670,SoilPly_1482,U9,"Udorthents, Clayey, Smoothed", ,"Udorthents, Clayey, Smoothed", ,U9,{A07245A1-1BBD-4C12-8F39-A5B43DFA79BB},,,,,0,0
1521,128659,SoilPly_1483,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{B08A0D19-223A-4EF8-B876-C377ECA13E7F},,,,,0,0
1522,128628,SoilPly_1484,Mb,"Manor loam, 15 to 40 percent slopes",D,Manor loam,15 to 40 percent slopes,MbD,{4D639BA4-EC2F-4421-AF9C-BFA2F4C21555},,,,,0,0
1523,128652,SoilPly_1485,Sm,"Sunnyside fine sandy loam, 0 to 8 percent slopes",B,Sunnyside fine sandy loam,0 to 8 percent slopes,SmB,{15CD0867-179D-4959-8982-0DE1EAD4E584},,,,,0,0
1524,128665,SoilPly_1486,U4,"Udorthents, Loamy", ,"Udorthents, Loamy", ,U4,{0B14AE07-1A1D-4114-91EF-710D285D7920},,,,,0,0
1525,128653,SoilPly_1487,Sm,"Sunnyside fine sandy loam, 8 to 15 percent slopes",C,Sunnyside fine sandy loam,8 to 15 percent slopes,SmC,{1A727865-F3E7-4100-87E4-CD2CA7FB13AC},,,,,0,0
1526,128652,SoilPly_1488,Sm,"Sunnyside fine sandy loam, 0 to 8 percent slopes",B,Sunnyside fine sandy loam,0 to 8 percent slopes,SmB,{D68C9C41-0896-46BE-89C4-A2E0EAACC62B},,,,,0,0
1527,128643,SoilPly_1489,Nu,"Neshaminy-urban land complex, 15 to 40 percent slopes",D,Neshaminy-urban land complex,15 to 40 percent slopes,NuD,{293FDF34-885F-4FFC-97CE-A899D08D8929},,,,,0,0
1528,128670,SoilPly_1490,U9,"Udorthents, Clayey, Smoothed", ,"Udorthents, Clayey, Smoothed", ,U9,{F7003F01-1611-4433-A1C4-14312FEE3029},,,,,0,0
1529,128603,SoilPly_1491,Gf,"Galestown and Rumford soils, 0 to 8 percent slopes",B,Galestown and Rumford soils,0 to 8 percent slopes,GfB,{AABB5D39-9E26-4887-9A7D-97D69E25A458},,,,,0,0
1530,128659,SoilPly_1492,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{F0E509D2-9A9A-495A-9B9E-2F2015B6DDEA},,,,,0,0
1531,128689,SoilPly_1493,W,Water, ,Water, ,W,{50B827C4-74BB-4AD0-B059-4F38603D9102},,,,,0,0
1532,128627,SoilPly_1494,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{0AAC49C0-E865-4D46-B95E-219872D01B49},,,,,0,0
1533,128582,SoilPly_1495,Ce,"Christiana silt loam, 0 to 8 percent slopes",B,Christiana silt loam,0 to 8 percent slopes,CeB,{3ED16D96-E045-4604-AE4B-16717A3D715E},,,,,0,0
1534,128643,SoilPly_1496,Nu,"Neshaminy-urban land complex, 15 to 40 percent slopes",D,Neshaminy-urban land complex,15 to 40 percent slopes,NuD,{080AEC23-7516-49A9-A970-960AE8132A0F},,,,,0,0
1535,128659,SoilPly_1497,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{32806CC6-891B-4B18-B70B-A57404FA6B56},,,,,0,0
1536,128642,SoilPly_1498,Nu,"Neshaminy-urban land complex, 8 to 15 percent slopes",C,Neshaminy-urban land complex,8 to 15 percent slopes,NuC,{3A1FE31A-BE96-4586-A163-F7B1DBB3BE00},,,,,0,0
1537,128611,SoilPly_1539,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{AF3DB625-0D80-4890-B877-4D609489D037},,,,,0,0
1538,128681,SoilPly_1540,Uo,"Urban land-Joppa complex, 8 to 15 percent slopes",C,Urban land-Joppa complex,8 to 15 percent slopes,UoC,{F08E7FE0-D5A9-4202-A244-61A224CA5C64},,,,,0,0
1539,128602,SoilPly_1541,Ge,"Galestown-urban land complex, 0 to 8 percent slopes",B,Galestown-urban land complex,0 to 8 percent slopes,GeB,{FC087646-698C-4C0C-8AAE-F662F2167958},,,,,0,0
1540,128653,SoilPly_1542,Sm,"Sunnyside fine sandy loam, 8 to 15 percent slopes",C,Sunnyside fine sandy loam,8 to 15 percent slopes,SmC,{ADC34E3B-4017-4C5F-82EB-817DD65FCC02},,,,,0,0
1541,128612,SoilPly_1543,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{66BFE991-0F36-42CC-BBAE-7D413F839959},,,,,0,0
1542,128649,SoilPly_1544,Sg,"Sassafras-urban land complex, 0 to 8 percent slopes",B,Sassafras-urban land complex,0 to 8 percent slopes,SgB,{D53D9922-89F4-443C-A6B7-AE5EEA84FC44},,,,,0,0
1543,128685,SoilPly_1545,Ux,"Urban land-Sassafras complex, 0 to 8 percent slopes",B,Urban land-Sassafras complex,0 to 8 percent slopes,UxB,{1687123D-4B7E-4C7A-A4F2-EFE122D6BA1C},,,,,0,0
1544,128585,SoilPly_1546,Cf,"Christiana-urban land complex, 0 to 8 percent slopes",B,Christiana-urban land complex,0 to 8 percent slopes,CfB,{9196FEF9-1C9E-444C-A95C-8784427F2DBF},,,,,0,0
1545,128586,SoilPly_1547,Cf,"Christiana-urban land complex, 8 to 15 percent slopes",C,Christiana-urban land complex,8 to 15 percent slopes,CfC,{5F982BDC-903F-4815-B46A-BC1D455A4017},,,,,0,0
