OBJECTID,MUKEY,GIS_ID,TYPE,DESC_,SLOPE,TYPEDESC,SLOPEDESC,TYPE_ORIG,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
510,128621,SoilPly_515,Ke,"Keyport fine sandy loam, 0 to 8 percent slopes",B,Keyport fine sandy loam,0 to 8 percent slopes,KeB,{D84B18FF-37A6-4CBF-B10A-0A2CD3285BEE},,,,,0,0
511,128622,SoilPly_516,Ke,"Keyport fine sandy loam, 8 to 15 percent slopes",C,Keyport fine sandy loam,8 to 15 percent slopes,KeC,{C87F0970-A0BA-4A26-AE56-012F3863F553},,,,,0,0
512,128583,SoilPly_517,Ce,"Christiana silt loam, 8 to 15 percent slopes",C,Christiana silt loam,8 to 15 percent slopes,CeC,{D00F13E6-0569-4D70-8D2F-EE440BA848D2},,,,,0,0
513,128651,SoilPly_518,Sg,"Sassafras-urban land complex, 15 to 40 percent slopes",D,Sassafras-urban land complex,15 to 40 percent slopes,SgD,{BE175741-AFAF-4072-8076-ABA87418E605},,,,,0,0
514,128573,SoilPly_519,Bt,"Brandywine-urban land complex, 0 to 8 percent slopes",B,Brandywine-urban land complex,0 to 8 percent slopes,BtB,{BBE985CD-25E0-4EDF-B12E-B404F3301111},,,,,0,0
515,128647,SoilPly_520,Sc,"Sassafras gravelly sandy loam, 8 to 15 percent slopes",C,Sassafras gravelly sandy loam,8 to 15 percent slopes,ScC,{B789C2A2-913C-4903-967F-A4D00DFC7B6B},,,,,0,0
516,128649,SoilPly_521,Sg,"Sassafras-urban land complex, 0 to 8 percent slopes",B,Sassafras-urban land complex,0 to 8 percent slopes,SgB,{6A7B5793-60F1-45C3-A676-1D2B34002D16},,,,,0,0
517,128575,SoilPly_522,Bt,"Brandywine-urban land complex, 15 to 40 percent slopes",D,Brandywine-urban land complex,15 to 40 percent slopes,BtD,{C005EAED-F6B9-4456-8C76-A7707C155FBE},,,,,0,0
518,128664,SoilPly_523,U3,"Udorthents, Sandy", ,"Udorthents, Sandy", ,U3,{33379199-2492-4179-9AF9-CB432751AA29},,,,,0,0
519,128649,SoilPly_524,Sg,"Sassafras-urban land complex, 0 to 8 percent slopes",B,Sassafras-urban land complex,0 to 8 percent slopes,SgB,{22A75441-5ED5-42EA-B1EA-F4D5E7629966},,,,,0,0
520,128635,SoilPly_525,Mh,"Matapeake-urban land complex, 0 to 8 percent slopes",B,Matapeake-urban land complex,0 to 8 percent slopes,MhB,{B40A2F28-730F-4143-B14C-51F4F8849C12},,,,,0,0
521,128607,SoilPly_526,Gg,"Glenelg loam, 15 to 40 percent slopes",D,Glenelg loam,15 to 40 percent slopes,GgD,{2DCE4A74-1A0B-4E23-A910-941360EF29C9},,,,,0,0
522,128691,SoilPly_527,Wp,"Woodstown-urban land complex, 0 to 8 percent slopes",B,Woodstown-urban land complex,0 to 8 percent slopes,WpB,{1CDBF4E8-114D-45B9-9899-F856DDC52689},,,,,0,0
523,128685,SoilPly_528,Ux,"Urban land-Sassafras complex, 0 to 8 percent slopes",B,Urban land-Sassafras complex,0 to 8 percent slopes,UxB,{9520D51C-AE09-469D-A37F-DB8A55A9F29D},,,,,0,0
524,128646,SoilPly_529,Sc,"Sassafras gravelly sandy loam, 0 to 8 percent slopes",B,Sassafras gravelly sandy loam,0 to 8 percent slopes,ScB,{34071FB1-7F91-497C-A047-850FC110E3A3},,,,,0,0
525,128579,SoilPly_530,Cd,"Chillum-urban land complex,  0 to 8 percent slopes",B,Chillum-urban land complex,0 to 8 percent slopes,CdB,{DD209617-B6B0-4B3C-81C8-588C335BD006},,,,,0,0
526,128649,SoilPly_531,Sg,"Sassafras-urban land complex, 0 to 8 percent slopes",B,Sassafras-urban land complex,0 to 8 percent slopes,SgB,{CAD97319-C7D2-4F9E-9B02-20C71AB3BB78},,,,,0,0
527,128619,SoilPly_532,Ju,"Joppa-urban land complex, 8 to 15 percent slopes",C,Joppa-urban land complex,8 to 15 percent slopes,JuC,{27E1D6E6-DE00-471D-B4D7-DE2630347F61},,,,,0,0
528,128612,SoilPly_533,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{45568BE5-1655-46BA-8A3D-E7435A04CE81},,,,,0,0
529,128609,SoilPly_534,Gh,"Glenelg-urban land complex, 8 to 15 percent slopes",C,Glenelg-urban land complex,8 to 15 percent slopes,GhC,{77DDD9B7-C1DB-4EBF-B058-E76EFC42E3A7},,,,,0,0
530,128617,SoilPly_535,Jt,"Joppa gravelly sandy loam, 15 to 40 percent slopes",D,Joppa gravelly sandy loam,15 to 40 percent slopes,JtD,{D4B12F96-9DCA-448F-96C0-A1246F502E7D},,,,,0,0
531,128622,SoilPly_536,Ke,"Keyport fine sandy loam, 8 to 15 percent slopes",C,Keyport fine sandy loam,8 to 15 percent slopes,KeC,{EEFC690B-2F58-4038-A6A9-4B65BFF0C0F2},,,,,0,0
532,128589,SoilPly_537,Cn,Codorus - Urban Land Complex, ,Codorus - Urban Land Complex, ,Cn,{E3A8F9D1-AA86-4146-BB2A-F140A742F419},,,,,0,0
533,128691,SoilPly_538,Wp,"Woodstown-urban land complex, 0 to 8 percent slopes",B,Woodstown-urban land complex,0 to 8 percent slopes,WpB,{7BB68F53-AA61-4C43-9A07-A40EF01864AA},,,,,0,0
534,128616,SoilPly_539,Jt,"Joppa gravelly sandy loam, 8 to 15 percent slopes",C,Joppa gravelly sandy loam,8 to 15 percent slopes,JtC,{9D232D39-76D6-4DA4-87D5-319B32C23B5A},,,,,0,0
535,128651,SoilPly_540,Sg,"Sassafras-urban land complex, 15 to 40 percent slopes",D,Sassafras-urban land complex,15 to 40 percent slopes,SgD,{D3F8C373-5AFC-4A8B-9C79-0362FD4284E2},,,,,0,0
536,128686,SoilPly_541,Ux,"Urban land-Sassafras complex, 8 to 15 percent slopes",C,Urban land-Sassafras complex,8 to 15 percent slopes,UxC,{5672B046-0777-4348-A76D-A3F171C5AB09},,,,,0,0
537,128609,SoilPly_542,Gh,"Glenelg-urban land complex, 8 to 15 percent slopes",C,Glenelg-urban land complex,8 to 15 percent slopes,GhC,{C644E20D-5566-4DC5-B26F-6359EBEA2502},,,,,0,0
538,128679,SoilPly_543,Uk,"Urban land-Croom complex, 8 to 15 percent slopes",C,Urban land-Croom complex,8 to 15 percent slopes,UkC,{07F08C5F-99A0-452F-915C-5244F357658F},,,,,0,0
539,128572,SoilPly_544,Br,"Brandywine gravelly loam,  15 to 40 percent slopes",D,Brandywine gravelly loam,15 to 40 percent slopes,BrD,{9D862C25-89F2-4230-833E-CB9F16A3BFBC},,,,,0,0
540,128646,SoilPly_545,Sc,"Sassafras gravelly sandy loam, 0 to 8 percent slopes",B,Sassafras gravelly sandy loam,0 to 8 percent slopes,ScB,{293D5237-1528-4A1C-A001-F993F1AAD463},,,,,0,0
541,128672,SoilPly_546,Ub,Urban Land, ,Urban Land, ,Ub,{9286DF38-5681-4D29-A049-DD47B6792BEA},,,,,0,0
542,128618,SoilPly_547,Ju,"Joppa-urban land complex, 0 to 8 percent slopes",B,Joppa-urban land complex,0 to 8 percent slopes,JuB,{80441364-2990-4CF8-99D9-51A5D07D771D},,,,,0,0
543,128669,SoilPly_548,U8,"Udorthents, Sandy, Smoothed", ,"Udorthents, Sandy, Smoothed", ,U8,{D1B64DEF-5066-4726-8921-85B21F849BC3},,,,,0,0
544,128649,SoilPly_549,Sg,"Sassafras-urban land complex, 0 to 8 percent slopes",B,Sassafras-urban land complex,0 to 8 percent slopes,SgB,{0676EFE4-D55B-4973-AF0B-478550CD1406},,,,,0,0
545,128617,SoilPly_550,Jt,"Joppa gravelly sandy loam, 15 to 40 percent slopes",D,Joppa gravelly sandy loam,15 to 40 percent slopes,JtD,{53190A7A-47EC-4262-8C57-091B59C9C5B2},,,,,0,0
546,128665,SoilPly_551,U4,"Udorthents, Loamy", ,"Udorthents, Loamy", ,U4,{3FF1B72F-20B4-423D-9CDB-DB40346EF578},,,,,0,0
547,128672,SoilPly_552,Ub,Urban Land, ,Urban Land, ,Ub,{06C10509-A187-4D80-B07B-F0F604DADBD8},,,,,0,0
548,128612,SoilPly_553,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{7F614D29-F543-46C0-89E6-720966948521},,,,,0,0
549,128575,SoilPly_554,Bt,"Brandywine-urban land complex, 15 to 40 percent slopes",D,Brandywine-urban land complex,15 to 40 percent slopes,BtD,{831FF333-0E3F-4ED2-815C-16392D2DAAD6},,,,,0,0
550,128631,SoilPly_555,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{719F9614-4A8E-4EE2-AC0B-3AEB4663FE46},,,,,0,0
551,128575,SoilPly_556,Bt,"Brandywine-urban land complex, 15 to 40 percent slopes",D,Brandywine-urban land complex,15 to 40 percent slopes,BtD,{2476B8F1-C8B2-47FD-8DD7-CB28E638A8A3},,,,,0,0
552,128665,SoilPly_557,U4,"Udorthents, Loamy", ,"Udorthents, Loamy", ,U4,{93F68F5F-FB09-4419-BC19-1AF101A34723},,,,,0,0
553,128650,SoilPly_558,Sg,"Sassafras-urban land complex, 8 to 15 percent slopes",C,Sassafras-urban land complex,8 to 15 percent slopes,SgC,{EB0425E6-4542-4E65-863E-3676163AE7BF},,,,,0,0
554,128572,SoilPly_559,Br,"Brandywine gravelly loam,  15 to 40 percent slopes",D,Brandywine gravelly loam,15 to 40 percent slopes,BrD,{AEEB7F52-D509-4DA6-864F-A72448A18760},,,,,0,0
555,128669,SoilPly_560,U8,"Udorthents, Sandy, Smoothed", ,"Udorthents, Sandy, Smoothed", ,U8,{4EF3FF5E-F43D-46D0-9066-48BA10F7A751},,,,,0,0
556,128609,SoilPly_561,Gh,"Glenelg-urban land complex, 8 to 15 percent slopes",C,Glenelg-urban land complex,8 to 15 percent slopes,GhC,{0F9C406F-ED73-41CD-AE1E-F219A50A1A1E},,,,,0,0
557,128666,SoilPly_562,U5,"Udorthents, Clayey", ,"Udorthents, Clayey", ,U5,{F21CB353-1F68-479A-9149-E4D7366DF3E3},,,,,0,0
558,128575,SoilPly_563,Bt,"Brandywine-urban land complex, 15 to 40 percent slopes",D,Brandywine-urban land complex,15 to 40 percent slopes,BtD,{7BF80C07-684C-4FE6-8236-3BAFA72830FC},,,,,0,0
559,128691,SoilPly_564,Wp,"Woodstown-urban land complex, 0 to 8 percent slopes",B,Woodstown-urban land complex,0 to 8 percent slopes,WpB,{99B17DCA-BC7D-4DBD-8E0C-30A35F2E6B68},,,,,0,0
560,128615,SoilPly_565,Jt,"Joppa gravelly sandy loam, 0 to 8 percent slopes",B,Joppa gravelly sandy loam,0 to 8 percent slopes,JtB,{24255450-5878-428E-A410-98F09F5F8D9C},,,,,0,0
561,128580,SoilPly_566,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{A0174857-09E3-4B36-865D-1AB08CD2194F},,,,,0,0
562,128664,SoilPly_567,U3,"Udorthents, Sandy", ,"Udorthents, Sandy", ,U3,{4BE0CF5D-A5B4-4F85-AD9F-FB7214A3A084},,,,,0,0
563,128685,SoilPly_568,Ux,"Urban land-Sassafras complex, 0 to 8 percent slopes",B,Urban land-Sassafras complex,0 to 8 percent slopes,UxB,{C4DC5FC4-222B-41FE-A0C3-0A4D35067EE4},,,,,0,0
564,128611,SoilPly_569,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{78CA6AC8-4BB4-4DD2-8758-E5CB774E0571},,,,,0,0
565,128606,SoilPly_570,Gg,"Glenelg loam, 8 to 15 percent slopes",C,Glenelg loam,8 to 15 percent slopes,GgC,{0F9231B5-AE31-4DC5-BDF8-09A77C398269},,,,,0,0
566,128570,SoilPly_571,Bp,"Bourne-urban land complex, 0 to 8 percent slopes",B,Bourne-urban land complex,0 to 8 percent slopes,BpB,{674AE0C8-E491-49F1-B497-05F86DD049D7},,,,,0,0
567,128620,SoilPly_572,Ju,"Joppa-urban land complex, 15 to 40 percent slopes",D,Joppa-urban land complex,15 to 40 percent slopes,JuD,{90E26B76-AE98-4E3F-9F7E-098B64E9241C},,,,,0,0
568,128648,SoilPly_573,Sc,"Sassafras gravelly sandy loam, 15 to 40 percent slopes",D,Sassafras gravelly sandy loam,15 to 40 percent slopes,ScD,{0264809B-6FDE-4118-BEFD-C7A964C247CC},,,,,0,0
569,128650,SoilPly_499,Sg,"Sassafras-urban land complex, 8 to 15 percent slopes",C,Sassafras-urban land complex,8 to 15 percent slopes,SgC,{1E87F4C8-3BAE-49A1-81D3-F3958C5E37E2},,,,,0,0
570,128649,SoilPly_500,Sg,"Sassafras-urban land complex, 0 to 8 percent slopes",B,Sassafras-urban land complex,0 to 8 percent slopes,SgB,{C5BB3B37-EB84-4E5B-85F9-664A84FEF8BE},,,,,0,0
571,128630,SoilPly_501,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{96E2B16C-5CD3-474F-9FF0-F6649C0A34FF},,,,,0,0
572,128664,SoilPly_502,U3,"Udorthents, Sandy", ,"Udorthents, Sandy", ,U3,{0370C437-0E03-456B-9885-B60D4947FB27},,,,,0,0
573,128606,SoilPly_503,Gg,"Glenelg loam, 8 to 15 percent slopes",C,Glenelg loam,8 to 15 percent slopes,GgC,{A2770FFF-6DCA-421E-BF05-443C9149CF63},,,,,0,0
574,128685,SoilPly_577,Ux,"Urban land-Sassafras complex, 0 to 8 percent slopes",B,Urban land-Sassafras complex,0 to 8 percent slopes,UxB,{2D524A13-3DA2-4A48-BEA0-593B20222B24},,,,,0,0
575,128647,SoilPly_578,Sc,"Sassafras gravelly sandy loam, 8 to 15 percent slopes",C,Sassafras gravelly sandy loam,8 to 15 percent slopes,ScC,{CF075C11-3EF4-4F4F-94E3-D2963AECCFAE},,,,,0,0
576,128664,SoilPly_579,U3,"Udorthents, Sandy", ,"Udorthents, Sandy", ,U3,{0EE09D74-012A-4100-81BC-1E3B0EFB5FE5},,,,,0,0
577,128630,SoilPly_580,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{B6E443DF-93BF-421F-B673-3A207FFC8B5F},,,,,0,0
578,128635,SoilPly_581,Mh,"Matapeake-urban land complex, 0 to 8 percent slopes",B,Matapeake-urban land complex,0 to 8 percent slopes,MhB,{1713801A-E78A-4D29-946B-01C2D4BA162B},,,,,0,0
579,128650,SoilPly_582,Sg,"Sassafras-urban land complex, 8 to 15 percent slopes",C,Sassafras-urban land complex,8 to 15 percent slopes,SgC,{470A0FB5-C476-418D-A4CA-F6F39C530DEE},,,,,0,0
580,128634,SoilPly_583,Mg,"Matapeake silt loam, 8 to 15 percent slopes",C,Matapeake silt loam,8 to 15 percent slopes,MgC,{A5186FFF-21FD-441C-8E7F-9128B263127E},,,,,0,0
581,128609,SoilPly_584,Gh,"Glenelg-urban land complex, 8 to 15 percent slopes",C,Glenelg-urban land complex,8 to 15 percent slopes,GhC,{91CF520F-9C83-48EE-B25E-8CEA3038EAEF},,,,,0,0
582,128611,SoilPly_585,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{AF4E2121-DCC5-472F-AD19-8E7FBAE7836E},,,,,0,0
583,128660,SoilPly_586,U11,"Udorthents, deep, 0 to 8 percent slopes",B,Udorthents,deep0 to 8 percent slopes,U11B,{68E3DB5F-2310-4477-8693-89D77C5837F0},,,,,0,0
584,128634,SoilPly_587,Mg,"Matapeake silt loam, 8 to 15 percent slopes",C,Matapeake silt loam,8 to 15 percent slopes,MgC,{AC30EA9B-4A0E-4AC2-8DF0-B016B7FC3993},,,,,0,0
585,128627,SoilPly_588,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{01475D8A-E7DA-48BE-8214-1CD839D0300C},,,,,0,0
